size	thresh
2.4	0.84765625
3.2386179821	0.77734375
4.37026934749	0.6796875
5.89734703976	0.578125
7.95802257069	0.46875
10.7387479164	0.359375
14.4911258781	0.25
19.554675354	0.16796875
26.3875513482	0.10546875
35.6079992916	0.0625
48.0502945051	0.03515625
64.8402282623	0.02099609375
87.4969705058	0.01171875
118.070525858	0.00537109375
159.327220083	0.0023193359375
215.0	3.81469726562e-06
